id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
1,TRD000001,2,2,BOND,BUY,101,51,2026-01-01,UNMATCHED
2,TRD000002,3,3,FX,SELL,102,52,2026-01-02,DISPUTED
3,TRD000003,4,4,EQUITY,BUY,103,53,2026-01-03,PENDING
4,TRD000004,5,5,BOND,SELL,104,54,2026-01-04,MATCHED
5,TRD000005,6,6,FX,BUY,105,55,2026-01-05,UNMATCHED
6,TRD000006,7,7,EQUITY,SELL,106,56,2026-01-06,DISPUTED
7,TRD000007,8,8,BOND,BUY,107,57,2026-01-07,PENDING
8,TRD000008,9,9,FX,SELL,108,58,2026-01-08,MATCHED
9,TRD000009,10,10,EQUITY,BUY,109,59,2026-01-09,UNMATCHED
10,TRD000010,1,1,BOND,SELL,110,60,2026-01-10,DISPUTED
11,TRD000011,2,2,FX,BUY,111,61,2026-01-11,PENDING
12,TRD000012,3,3,EQUITY,SELL,112,62,2026-01-12,MATCHED
13,TRD000013,4,4,BOND,BUY,113,63,2026-01-13,UNMATCHED
14,TRD000014,5,5,FX,SELL,114,64,2026-01-14,DISPUTED
15,TRD000015,6,6,EQUITY,BUY,115,65,2026-01-15,PENDING
16,TRD000016,7,7,BOND,SELL,116,66,2026-01-16,MATCHED
17,TRD000017,8,8,FX,BUY,117,67,2026-01-17,UNMATCHED
18,TRD000018,9,9,EQUITY,SELL,118,68,2026-01-18,DISPUTED
19,TRD000019,10,10,BOND,BUY,119,69,2026-01-19,PENDING
20,TRD000020,1,1,FX,SELL,120,70,2026-01-20,MATCHED
21,TRD000021,2,2,EQUITY,BUY,121,71,2026-01-01,UNMATCHED
22,TRD000022,3,3,BOND,SELL,122,72,2026-01-02,DISPUTED
23,TRD000023,4,4,FX,BUY,123,73,2026-01-03,PENDING
24,TRD000024,5,5,EQUITY,SELL,124,74,2026-01-04,MATCHED
25,TRD000025,6,6,BOND,BUY,125,75,2026-01-05,UNMATCHED
