id,symbol,name,asset_class,currency,isin
1,SAP.DE,SAP SE,EQUITY,EUR,DE0007164600
2,SIE.DE,Siemens AG,EQUITY,EUR,DE0007236101
3,DBKGn.DE,Deutsche Bank AG,EQUITY,EUR,DE0005140008
4,AAPL,Apple Inc,EQUITY,USD,US0378331005
5,MSFT,Microsoft Corp,EQUITY,USD,US5949181045
6,GOOGL,Alphabet Inc,EQUITY,USD,US02079K3059
7,HSBA.L,HSBC Holdings,EQUITY,GBP,GB0005405286
8,VOD.L,Vodafone Group,EQUITY,GBP,GB00BH4HKS39
9,T.TO,Telus Corp,EQUITY,CAD,CA87971M1032
10,BUND10Y,German 10Y Bund,FIXED_INCOME,EUR,DE0001102341
11,UST10Y,US 10Y Treasury,FIXED_INCOME,USD,US912828Z948
12,GILT10Y,UK 10Y Gilt,FIXED_INCOME,GBP,GB00BFWFPL34
13,EUR/USD,EUR/USD Spot,FX,USD,NULL
14,USD/JPY,USD/JPY Spot,FX,JPY,NULL
15,GBP/USD,GBP/USD Spot,FX,USD,NULL
16,TSLA,Tesla Inc,EQUITY,USD,US88160R1014
17,NVDA,NVIDIA Corp,EQUITY,USD,US67066G1040
18,AMZN,Amazon Inc,EQUITY,USD,US0231351067
19,META,Meta Platforms,EQUITY,USD,US30303M1027
20,NFLX,Netflix Inc,EQUITY,USD,US64110L1061
21,ORCL,Oracle Corp,EQUITY,USD,US68389X1054
22,IBM,IBM Corp,EQUITY,USD,US4592001014
23,INTC,Intel Corp,EQUITY,USD,US4581401001
24,AMD,AMD Inc,EQUITY,USD,US0079031078
25,ADBE,Adobe Inc,EQUITY,USD,US00724F1012
26,JP10Y,Japan 10Y Bond,FIXED_INCOME,JPY,JP1103721M18
27,FR10Y,France 10Y Bond,FIXED_INCOME,EUR,FR0013154044
28,IT10Y,Italy 10Y Bond,FIXED_INCOME,EUR,IT0005217390
29,CA10Y,Canada 10Y Bond,FIXED_INCOME,CAD,CA135087KX52
30,AU10Y,Australia 10Y Bond,FIXED_INCOME,AUD,AU000XCLWAG2
31,EUR/GBP,EUR/GBP Spot,FX,GBP,NULL
32,EUR/JPY,EUR/JPY Spot,FX,JPY,NULL
33,AUD/USD,AUD/USD Spot,FX,USD,NULL
34,USD/CAD,USD/CAD Spot,FX,CAD,NULL
35,USD/CHF,USD/CHF Spot,FX,CHF,NULL
36,BTC/USD,Bitcoin USD,CRYPTO,USD,NULL
37,ETH/USD,Ethereum USD,CRYPTO,USD,NULL
38,SILVER,Silver Commodity,COMMODITY,USD,NULL
39,GOLD,Gold Commodity,COMMODITY,USD,NULL
40,WTI,Crude Oil WTI,COMMODITY,USD,NULL
41,XOM,Exxon Mobil,EQUITY,USD,US30231G1022
42,CVX,Chevron Corp,EQUITY,USD,US1667641005
43,SHEL.L,Shell PLC,EQUITY,GBP,GB00BP6MXD84
44,BP.L,BP PLC,EQUITY,GBP,GB0007980591
45,TM,Toyota Motor,EQUITY,JPY,JP3633400001
46,V,Visa Inc,EQUITY,USD,US92826C8394
47,MA,Mastercard Inc,EQUITY,USD,US57636Q1040
48,JPM,JPMorgan Chase,EQUITY,USD,US46625H1005
49,GS,Goldman Sachs,EQUITY,USD,US38141G1040
50,MS,Morgan Stanley,EQUITY,USD,US6174464486
